"","Species","taxonKey","nObs","common.names"
"61","Heteromys anomalus",2439570,331,"Caribbean spiny pocket mouse"
"62","Liomys irroratus",2439507,7898,"Mexican spiny pocket mouse"
"63","Liomys salvini",2439506,1653,"Salvin's spiny pocket mouse"
"64","Dipodomys panamintinus",2439513,3517,"Panamint kangaroo rat"
"65","Dipodomys merriami",2439521,31736,"Merriam's kangaroo rat"
"66","Chaetodipus penicillatus",2439591,8434,"desert pocket mouse"
"67","Dipodomys microps",2439510,3176,"chisel-toothed kangaroo rat"
"68","Chaetodipus intermedius",2439589,5159,"rock pocket mouse"
"69","Thomomys bottae",2439385,31925,"Botta's pocket gopher"
"70","Geomys pinetis",2439377,1320,"southeastern pocket gopher"
"71","Thomomys talpoides",2439383,10049,"northern pocket gopher"
"72","Thomomys umbrinus",2439382,5105,"southern pocket gopher"
"73","Geomys bursarius",2439378,6648,"Plains pocket gopher"
"74","Erethizon dorsatus",6066824,3983,"North American porcupine"
"75","Thrichomys apereoides",2439813,72,"common punare"
"76","Jaculus orientalis",5219894,373,"greater Egyptian jerboa"
"77","Jaculus jaculus",5219895,1144,"lesser Egyptian jerboa"
"78","Napaeozapus insignis",2439461,4039,"woodland jumping mouse"
"79","Dasyprocta leporina",2437577,745,"Brazilian agouti"
"80","Myoprocta acouchy",2437590,264,"Red Acouchi"
"81","Dasyprocta azarae",2437582,457,"Azara's agouti"
"82","Cabassous centralis",2440806,123,"northern naked-tailed armadillo"
"83","Priodontes maximus",5220096,72,"Giant Armadillo"
"84","Ctenomys talarum",2439621,165,"Talas tuco-tuco"
"85","Microtus ochrogaster",2438671,7592,"prairie vole"
"86","Microtus pennsylvanicus",2438655,26493,"meadow vole"
"87","Onychomys torridus",2438516,4576,"southern grasshopper mouse"
"88","Phodopus sungorus",2437845,140,"Dzhungarian hamster"
"89","Graomys griseoflavus",2438231,1415,"gray leaf-eared mouse"
"90","Cricetulus barabensis",2438773,339,"striped dwarf hamster"
"91","Myopus schisticolor",2439358,924,"wood lemming"
"92","Reithrodontomys megalotis",2437874,22135,"western harvest mouse"
"93","Microtus montanus",2438609,8774,"montane vole"
"94","Peromyscus eremicus",2437981,18892,"cactus mouse"
"95","Peromyscus crinitus",2438021,6372,"canyon mouse"
"96","Peromyscus truei",2437985,17089,"Pinyon mouse"
"97","Peromyscus californicus",2438028,4317,"California mouse"
"98","Microtus richardsoni",2438626,973,"water vole"
"99","Lagurus curtatus",5219781,87,"sagebrush vole"
"100","Microtus pinetorum",2438638,3395,"woodland vole"
"101","Ondatra zibethicus",5219858,29145,"muskrat"
"102","Neofiber alleni",2438050,932,"Round-tailed muskrat"
"103","Oxymycterus roberti",2438943,195,"Robert's hocicudo"
"104","Neotoma lepida",2438438,8527,"desert woodrat"
"105","Peromyscus gossypinus",2437988,6279,"cotton mouse"
"106","Ochrotomys nuttalli",2438565,1958,"Golden Mouse"
"107","Microtus arvalis",2438606,25203,"Common vole"
"108","Isthmomys pirrensis",2438967,61,"Mt. Pirri Isthmus rat"
"109","Peromyscus leucopus",2438019,51392,"white-footed mouse"
"110","Myodes gapperi",5706760,22969,"Southern red-backed vole"
"111","Megadontomys thomasi",2438695,283,"Thomas's giant deer mouse"
"112","Peromyscus maniculatus",2437967,141410,"North American deer mouse"
"113","Loxodontomys micropus",4265178,1192,"southern big-eared mouse"
"114","Phyllotis darwini",5219758,723,"Darwin's leaf-eared mouse"
"115","Microtus longicaudus",2438621,15430,"long-tailed vole"
